iso3,hazard,rp,income_cat,di,dy
AGO,Earthquake,AAL,0.6,1.3907855659583934,1.419292534801713
AGO,Earthquake,AAL,0.8,0.6298327209350321,0.6091464146622674
AGO,Earthquake,AAL,1.0,1.7517103970557213,1.634094971963705
AGO,Earthquake,AAL,tot,1.4037386984023619,1.4041337079019809
AGO,Flood,10.0,0.2,3.9359465185993,4.060527843334061
AGO,Flood,10.0,0.4,8.062998579650511,8.305120642442933
AGO,Flood,10.0,0.6,7.397674145653144,7.523353632524324
AGO,Flood,10.0,0.8,6.618781917406124,6.587332841977669
AGO,Flood,10.0,1.0,18.655182959286616,18.194893372385838
AGO,Flood,10.0,tot,8.934116824119139,8.934245666532965
AGO,Flood,25.0,0.2,8.075563811314359,8.331173086704545
AGO,Flood,25.0,0.4,16.543227717356135,17.0400007702847
AGO,Flood,25.0,0.6,15.178150753890305,15.436013179410148
AGO,Flood,25.0,0.8,13.580061485745764,13.515535960759914
AGO,Flood,25.0,1.0,38.27570310916918,37.331305640064116
AGO,Flood,25.0,tot,18.330541375495148,18.330805727444684
AGO,Flood,50.0,0.2,11.211359841944562,11.566223927263657
AGO,Flood,50.0,0.4,22.967074896571333,23.656748284868964
AGO,Flood,50.0,0.6,21.071929318262395,21.429921467141032
AGO,Flood,50.0,0.8,18.853291181863163,18.763709959237733
AGO,Flood,50.0,1.0,53.13841742655474,51.82730403467949
AGO,Flood,50.0,tot,25.448414533039237,25.448781534638176
AGO,Flood,100.0,0.2,12.439963437135253,12.833715516165507
AGO,Flood,100.0,0.4,25.483935579553393,26.24918723991756
AGO,Flood,100.0,0.6,23.38110933594109,23.778332269252935
AGO,Flood,100.0,0.8,20.919340408160398,20.819942373504013
AGO,Flood,100.0,1.0,58.96162278374019,57.50683024413693
AGO,Flood,100.0,tot,28.237194308906066,28.237601528595388
AGO,Flood,250.0,0.2,13.130636523847985,13.546249918242848
AGO,Flood,250.0,0.4,26.89881662299616,27.70655544411824
AGO,Flood,250.0,0.6,24.67924039857936,25.098517350847963
AGO,Flood,250.0,0.8,22.08079280990812,21.975876145895985
AGO,Flood,250.0,1.0,62.235202019844756,60.699638659738014
AGO,Flood,250.0,tot,29.804937675035273,29.80536750376861
AGO,Flood,500.0,0.2,13.697132254564606,14.13067647913101
AGO,Flood,500.0,0.4,28.059313659874025,28.90190079873518
AGO,Flood,500.0,0.6,25.743978143603865,26.181343983110906
AGO,Flood,500.0,0.8,23.03342559621172,22.923982507137456
