iso3,hazard,JEL,h_week,JEL_adj,pop,JEL_pop_share,JEL_adj_pop_share
JPN,Earthquake,34345.01159205532,36.6,31425.685606730618,123975371.0,0.00027703092408616647,0.0002534832955388423
JPN,Flood,230.13610433683587,36.6,210.57453546820483,123975371.0,1.8563050263978308e-06,1.6985190991540152e-06
JPN,Storm surge,0.43482184940952184,36.6,0.3978619922097125,123975371.0,3.507324445994373e-09,3.2092018680848514e-09
JPN,Tsunami,23918.776329712586,36.6,21885.680341687017,123975371.0,0.00019293167777422973,0.0001765324851634202
JPN,Wind,31855.51061573432,36.6,29147.792213396904,123975371.0,0.0002569503148793507,0.00023510953811460588
JPN,all_hazards,90349.86946368848,36.6,82670.13055927496,123975371.0,0.0007287727290905907,0.0006668270471178905
KAZ,Earthquake,9930.377890106492,38.0,9433.858995601167,20592571.0,0.0004822310866431633,0.0004581195323110051
KAZ,Flood,9819.928265619588,38.0,9328.931852338608,20592571.0,0.00047686752011779336,0.0004530241441119037
KAZ,all_hazards,19750.30615572608,38.0,18762.790847939777,20592571.0,0.0009590986067609567,0.0009111436764229089
KEN,Earthquake,18344.65110073844,39.56,18142.859938630318,56432944.0,0.0003250698935844715,0.0003214941247550423
KEN,Flood,24018.975588965848,39.56,23754.766857487226,56432944.0,0.0004256197512744656,0.00042093793401044654
KEN,Tsunami,4678.62272131781,39.56,4627.157871383314,56432944.0,8.2905877129462e-05,8.199391248103793e-05
KEN,all_hazards,47042.2494110221,39.56,46524.78466750086,56432944.0,0.0008335955219883992,0.0008244259712465269
KOR,Earthquake,3524.9957599945346,37.88,3338.1709847148245,51751065.0,6.811445832070382e-05,6.450439202970653e-05
KOR,Flood,319.4088880812064,37.88,302.4802170129025,51751065.0,6.1720254081960705e-06,5.8449080615616795e-06
KOR,Storm surge,9324.339492982515,37.88,8830.149499854442,51751065.0,0.0001801767653087432,0.00017062739674737984
KOR,Tsunami,1155.5006164768815,37.88,1094.259083803607,51751065.0,2.232805482315932e-05,2.114466791753188e-05
KOR,Wind,12616.390969891281,37.88,11947.722248487044,51751065.0,0.00024378997746019875,0.00023086910865480824
KOR,all_hazards,26940.63572742642,37.88,25512.78203387282,51751065.0,0.0005205812813210012,0.0004929904734109882
LAO,Earthquake,3888.141218526376,41.53,4036.8626201350103,7769819.0,0.0005004159322792946,0.0005195568416889776
LAO,Flood,45874.24667745613,41.53,47628.936612868834,7769819.0,0.00590415898715995,0.006129993068418819
LAO,Wind,1018.1252087744091,41.53,1057.0684980100302,7769819.0,0.00013103589784709387,0.0001360480209397452
LAO,all_hazards,50780.513104756916,41.53,52722.867731013874,7769819.0,0.006535610817286337,0.006785597931047541
LBN,Earthquake,12165.658905646262,47.57,14468.009853539817,5805962.0,0.002095373498077711,0.0024919229325889177
LBN,Flood,43.86986695669994,47.57,52.172239278255404,5805962.0,7.556003114849862e-06,8.9859767043352e-06
LBN,Tsunami,2273.1646621750638,47.57,2703.3610744916946,5805962.0,0.00039152248364268726,0.0004656181136720658
LBN,all_hazards,14482.693434778026,47.57,17223.54316730977,5805962.0,0.002494451984835248,0.002966527022965319
LBR,Earthquake,2737.3033727881993,47.64999999999999,3260.812642833942,5612817.0,0.0004876879778528677,0.0005809583036172286
LBR,Flood,13983.781735789666,47.64999999999999,16658.179992759437,5612817.0,0.0024914016857826766,0.002967882258188613
LBR,Tsunami,41.758457896077374,47.64999999999999,49.74476296870216,5612817.0,7.439839548675357e-06,8.862708862359518e-06
LBR,all_hazards,16762.84356647394,47.64999999999999,19968.73739856208,5612817.0,0.0029865295031842195,0.003557703270668201
LKA,Earthquake,590.3293873426849,41.89,618.2224508946267,21916000.0,2.6936000517552697e-05,2.820872654200706e-05
LKA,Flood,12358.309675877941,41.89,12942.239808063174,21916000.0,0.0005638944002499517,0.0005905384106617619
LKA,Storm surge,978.8802446095459,41.89,1025.1323361673471,21916000.0,4.466509603073307e-05,4.677552181818521e-05
LKA,Tsunami,8667.537723913048,41.89,9077.078881367941,21916000.0,0.00039548903649904403,0.0004141758934736239
LKA,Wind,2034.8000577549417,41.89,2130.9443604838625,21916000.0,9.284541238159069e-05,9.723235811662085e-05
LKA,all_hazards,24629.857089498164,41.89,25793.617836976955,21916000.0,0.0011238299456788723,0.001176930910612199
LSO,Earthquake,1245.283247020332,49.26,1533.5663187055388,2337423.0,0.0005327590457612217,0.0006560927648549445
LSO,Flood,872.652593947852,49.26,1074.6716694467798,2337423.0,0.000373339611164882,0.00045976773114955223
LSO,all_hazards,2117.935840968184,49.26,2608.2379881523184,2337423.0,0.0009060986569261037,0.0011158604960044966
LTU,Earthquake,60.25996348790374,38.63,58.19605973844305,2888055.0,2.0865240962482966e-05,2.0150606459517928e-05
LTU,Flood,176.78667154865457,38.63,170.73172804811315,2888055.0,6.121305568926304e-05,5.911650853190578e-05
LTU,all_hazards,237.0466350365583,38.63,228.9277877865562,2888055.0,8.207829665174601e-05,7.92671149914237e-05
LVA,Earthquake,170.63658526993052,38.55,164.45100905389552,1862441.0,9.161986085461527e-05,8.829864089863546e-05
LVA,Flood,838.1343226471092,38.55,807.7519534511514,1862441.0,0.0004500192610918194,0.00043370606287724086
LVA,all_hazards,1008.7709079170397,38.55,972.2029625050469,1862441.0,0.0005416391219464346,0.0005220047037758763
MAR,Earthquake,41008.68827527547,44.0,45109.55710280301,38081173.0,0.0010768756591419983,0.0011845632250561979
