iso3,gdp_pc_pp,gni_pc_pp,pop,gini_index,name,region,income_group,prepare_scaleup,finance_pre,borrowing_ability,avg_prod_k,tau_tax,k_priv_share,k_household_share,owner_occupied_share_of_value_added,self_employment,real_est_k_to_va_shares_ratio,rho,income_elasticity_eta
LBN,11330.2687387422,10327.5677287268,5805962.0,35.3,Lebanon,MNA,LMICs,0.3565122472738893,0.5,0.25,0.1778802634087515,0.16329846105572335,0.318873755096995,0.5534022183665295,0.1132343609273951,0.295626515170066,3.705328168012808,0.06,1.5
LBR,1658.2599942500997,1443.67262728265,5612817.0,35.3,Liberia,SSA,LICs,0.6333333333333333,0.6666666666666666,0.6666666666666666,0.2623024378712349,0.0894503039561179,0.11646021057686802,0.52892491368592,0.0243196851242554,0.790264840152927,3.705328168012808,0.06,1.5
LKA,13752.836740385997,13379.2997442946,21916000.0,37.7,Sri Lanka,SAR,LMICs,0.5388648938202181,0.6666666666666666,1.0,0.3473223975424335,0.1550440431934355,0.3777451731220884,0.4088746165451157,0.0371089888315207,0.4180646617695089,3.705328168012808,0.06,1.5
LSO,2637.9165102339493,3044.23213592819,2337423.0,44.9,Lesotho,SSA,LMICs,0.4,0.3333333333333333,0.2416666666666666,0.2171583394734142,0.23231199822572035,0.239426927373912,0.2592902165764759,0.0293945710504324,0.385770775891706,3.705328168012808,0.06,1.5
LTU,47169.008419028694,43616.2619023607,2888055.0,36.0,Lithuania,ECA,HICs,0.3000856069005659,0.8333333333333334,0.8,0.2598650358328045,0.3188746827745659,0.5120896677314666,0.27381526917778576,0.0552967626222385,0.118625059815295,3.705328168012808,0.06,1.5
LVA,38936.04538704539,37768.6122626232,1862441.0,34.0,Latvia,ECA,HICs,0.245306406115846,0.8333333333333334,0.7833333333333333,0.1343388801775949,0.32237850520046907,0.387117320037087,0.3973760596943207,0.0910919743855269,0.133903184257445,3.705328168012808,0.06,1.5
MAR,9065.914062499998,8955.1123046875,38081173.0,39.5,Morocco,MNA,LMICs,0.6986300833767103,1.0,1.0,0.2008016416164941,0.16639960491850359,0.36174036588252906,0.42247584806724614,0.0490717515167237,0.399490689132891,3.705328168012808,0.06,1.5
MDA,16465.928687609696,17329.513294551,2389275.0,26.8,Moldova,ECA,UMICs,0.4660296594661768,0.5,0.375,0.4075954431814228,0.47968830600334234,0.20760796026187567,0.5882448654301602,0.0780785982721665,0.590149834721299,3.705328168012808,0.06,1.5
MDG,1657.0497062250997,1573.90927049096,31964956.0,36.8,Madagascar,SSA,LICs,0.6,0.5,1.0,0.4516007373953485,0.09612878700045521,0.04548529032954654,0.5274630035263428,0.0433334193587319,0.889701546595027,3.705328168012808,0.06,1.5
MEX,22033.274449661898,22442.6274582049,130861007.0,43.5,Mexico,LAC,UMICs,0.4589684434333194,0.8333333333333334,0.7083333333333334,0.2308702182062391,0.16693555653805303,0.36839619696653125,0.3913563416744734,0.0602085345147196,0.313539135942305,3.705328168012808,0.06,1.5
